Month, Year, US-Canada Rate
January 31, 2012,	1.016364
February 29, 2012,	0.997757
March 31, 2012,	0.993162
April 30, 2012,	0.994276
May 31, 2012,	1.009397
June 30, 2012,	1.027839
July 31, 2012,	1.014016
August 31, 2012,	0.99344
September 30, 2012,	0.979022
October 31, 2012,	0.986016
November 30, 2012,	0.997657
December 31, 2012,	0.990504
January 31, 2013,	0.992235
February 28, 2013,	1.008024
March 31, 2013,	1.0243
April 30, 2013,	1.018646
May 31, 2013,	1.019315
June 30, 2013,	1.031804
July 31, 2013,	1.041515
August 31, 2013,	1.039314
September 30, 2013,	1.036557
October 31, 2013,	1.035523
November 30, 2013,	1.048196
December 31, 2013,	1.063922
January 31, 2014,	1.090421
February 28, 2014,	1.105618
March 31, 2014,	1.110703
April 30, 2014,	1.099749
May 31, 2014,	1.089521
June 30, 2014,	1.082865
July 31, 2014,	1.07269
August 31, 2014,	1.092226
September 30, 2014,	1.099751
October 31, 2014,	1.122052
November 30, 2014,	1.131759
December 31, 2014,	1.154144
January 31, 2015,	1.2099
February 28, 2015,	1.251616
March 31, 2015,	1.261494
April 30, 2015,	1.23637
May 31, 2015,	1.217718
June 30, 2015,	1.235682
July 31, 2015,	1.282527
August 31, 2015,	1.314185
September 30, 2015,	1.326162
October 31, 2015,	1.307006
November 30, 2015,	1.328105
December 31, 2015,	1.370132
January 31, 2016,	1.417969
February 29, 2016,	1.380447
March 31, 2016,	1.32389
April 30, 2016,	1.283905
May 31, 2016,	1.293075
June 30, 2016,	1.290092
July 31, 2016,	1.30318
August 31, 2016,	1.29956
September 30, 2016,	1.310526
October 31, 2016,	1.324308
November 30, 2016,	1.345756
December 31, 2016,	1.334768
January 31, 2017,	1.321192
February 28, 2017,	1.309965
March 31, 2017,	1.338878
April 30, 2017,	1.344386
May 31, 2017,	1.359535
June 30, 2017,	1.331711
July 31, 2017,	1.269651
August 31, 2017,	1.260876
September 30, 2017,	1.228998
October 31, 2017,	1.260598
November 30, 2017,	1.275853
December 31, 2017,	1.275719
January 31, 2018,	1.243433
February 28, 2018,	1.257634
March 31, 2018,	1.292903
April 30, 2018,	1.274482
May 31, 2018,	1.287227
June 30, 2018,	1.312379
July 31, 2018,	1.313303
August 31, 2018,	1.304956
September 30, 2018,	1.303321
October 31, 2018,	1.302096
November 30, 2018,	1.319734
December 31, 2018,	1.345234
January 31, 2019,	1.330202
February 28, 2019,	1.320638
March 31, 2019,	1.337235
April 30, 2019,	1.338409
May 31, 2019,	1.345505
June 30, 2019,	1.330281
July 31, 2019,	1.310256
August 31, 2019,	1.327759
September 30, 2019,	1.324762
October 31, 2019,	1.318787
November 30, 2019,	1.323737
December 31, 2019,	1.317169
January 31, 2020,	1.307925
February 29, 2020,	1.328071
March 31, 2020,	1.393565
April 30, 2020,	1.405301
May 31, 2020,	1.398399
June 30, 2020,	1.355756
July 31, 2020,	1.350647
August 31, 2020,	1.324277
September 30, 2020,	1.321976
October 31, 2020,	1.320232
November 30, 2020,	1.306551
December 31, 2020,	1.281255
January 31, 2021,	1.272969
February 28, 2021,	1.269604
March 31, 2021,	1.256901
April 30, 2021,	1.249967
May 31, 2021,	1.213141
June 30, 2021,	1.222946
July 31, 2021,	1.251287
August 31, 2021,	1.260335
September 30, 2021,	1.26635
October 31, 2021,	1.24427
November 30, 2021,	1.258366
December 31, 2021,	1.279508
January 31, 2022,	1.26249
February 28, 2022,	1.272274
March 31, 2022,	1.265527
April 30, 2022,	1.263619
May 31, 2022,	1.284773
June 30, 2022,	1.281685
July 31, 2022,	1.293463
August 31, 2022,	1.292197
September 17, 2022,	1.313764